house_title,house_unit_price
和润佳园 3室2厅 200万,单价16792元/平米
和润佳园 3室2厅 200万,单价16792元/平米
唯美品格 三室精装婚房 位置好视野好 诚售可议,单价26247元/平米
唯美品格 三室精装婚房 位置好视野好 诚售可议,单价26247元/平米
唯美品格 南北通透 送三个阳台 精装三室,单价26067元/平米
唯美品格 南北通透 送三个阳台 精装三室,单价26067元/平米
边三室 高档装修 室内保持好 南北阳台,单价22219元/平米
边三室 高档装修 室内保持好 南北阳台,单价22219元/平米
大纺八十中亿达世纪城精装空中四合院中间户,单价20593元/平米
大纺八十中亿达世纪城精装空中四合院中间户,单价20593元/平米
二室南北向 位置好 户型好 房主急售,单价10047元/平米
二室南北向 位置好 户型好 房主急售,单价10047元/平米
大纺八十中中间楼层双南朝向近车站近市场,单价11569元/平米
大纺八十中中间楼层双南朝向近车站近市场,单价11569元/平米
80中 鹏辉小 南北通厅 近车站 近地铁 价低急售,单价13098元/平米
80中 鹏辉小 南北通厅 近车站 近地铁 价低急售,单价13098元/平米
壹品天城 精装南北小两室 拎包住 八十中 业主诚售,单价23422元/平米
壹品天城 精装南北小两室 拎包住 八十中 业主诚售,单价23422元/平米
鹏辉新世纪 近公园 交通方便 购物方面,单价11483元/平米
鹏辉新世纪 近公园 交通方便 购物方面,单价11483元/平米
马栏广场 里程巷 中间楼层 价格合理 适合刚需,单价7488元/平米
马栏广场 里程巷 中间楼层 价格合理 适合刚需,单价7488元/平米
泡崖美林园 2室1厅 62万,单价10148元/平米
泡崖美林园 2室1厅 62万,单价10148元/平米
芙蓉小 80 洋房3室通厅 诚心出售 精装修,单价15325元/平米
芙蓉小 80 洋房3室通厅 诚心出售 精装修,单价15325元/平米
北府花园 一室一厅 首付18万 月还3600,单价13756元/平米
北府花园 一室一厅 首付18万 月还3600,单价13756元/平米
机场 新星帕尔美娜 户型规矩 婚房装修 拎包入住！！,单价13238元/平米
机场 新星帕尔美娜 户型规矩 婚房装修 拎包入住！！,单价13238元/平米
湾家地铁口精装两室，拎包住，房主诚心出售,单价12394元/平米
湾家地铁口精装两室，拎包住，房主诚心出售,单价12394元/平米
华南加州洋房 精装修2室2厅多层洋房 近地铁 采光充足,单价14975元/平米
华南加州洋房 精装修2室2厅多层洋房 近地铁 采光充足,单价14975元/平米
房子2室1厅1卫 精装修 南北通透，车站，配套齐全,单价8984元/平米
房子2室1厅1卫 精装修 南北通透，车站，配套齐全,单价8984元/平米
"南北通厅两室，全明户型，拎包住,中间楼层",单价11221元/平米
"南北通厅两室，全明户型，拎包住,中间楼层",单价11221元/平米
锦泉源D2区 3室2厅 103万,单价11682元/平米
锦泉源D2区 3室2厅 103万,单价11682元/平米
千山心城门头房 位置好适合各种经营 面积大 致电看房,单价14081元/平米
千山心城门头房 位置好适合各种经营 面积大 致电看房,单价14081元/平米
泉水锦泉源 两室一厅 精装修 地铁房,单价9518元/平米
泉水锦泉源 两室一厅 精装修 地铁房,单价9518元/平米
第五郡精装修未住  私有户型四室大宅,单价24617元/平米
第五郡精装修未住  私有户型四室大宅,单价24617元/平米
华南乐活源旁 泊岭紫郡 两室房款低 中间楼层 无遮挡,单价10198元/平米
华南乐活源旁 泊岭紫郡 两室房款低 中间楼层 无遮挡,单价10198元/平米
亿达世纪城 3室2厅 225万,单价20405元/平米
亿达世纪城 3室2厅 225万,单价20405元/平米
中间楼层  无遮挡 采光好 位置佳,单价9243元/平米
中间楼层  无遮挡 采光好 位置佳,单价9243元/平米
万福居，四室，跃层，拎包入住。,单价15738元/平米
万福居，四室，跃层，拎包入住。,单价15738元/平米
千山心城 精装三室 南北通厅 多层不把边 致电看房,单价12037元/平米
千山心城 精装三室 南北通厅 多层不把边 致电看房,单价12037元/平米
华南 山东路 中间楼层 2000年房龄 繁华地段 南北通厅,单价10369元/平米
华南 山东路 中间楼层 2000年房龄 繁华地段 南北通厅,单价10369元/平米
西山水库万科商圈，两室两厅，全明户型,单价12881元/平米
西山水库万科商圈，两室两厅，全明户型,单价12881元/平米
精装一室 户型方正 保持好 房主诚心出售 带露台,单价23995元/平米
精装一室 户型方正 保持好 房主诚心出售 带露台,单价23995元/平米
华东人家 南北通透 带阁楼 入可住,单价9127元/平米
华东人家 南北通透 带阁楼 入可住,单价9127元/平米
泉水 两室南北向，五明户型，装修保持好。,单价10126元/平米
泉水 两室南北向，五明户型，装修保持好。,单价10126元/平米
华南商圈品质小区中间楼层南北精装两室,单价12964元/平米
华南商圈品质小区中间楼层南北精装两室,单价12964元/平米
封闭小区 南北通厅 落地窗 采光好,单价12556元/平米
封闭小区 南北通厅 落地窗 采光好,单价12556元/平米
千山心城 两室两厅 小区中间位置 户型规矩 采光好,单价12318元/平米
千山心城 两室两厅 小区中间位置 户型规矩 采光好,单价12318元/平米
大纺 唯美品格 精装花园洋房 带阁楼 露台 80中,单价26830元/平米
大纺 唯美品格 精装花园洋房 带阁楼 露台 80中,单价26830元/平米
艾维尼小城 4室1厅 145万,单价16894元/平米
艾维尼小城 4室1厅 145万,单价16894元/平米
骏腾名苑，南北通厅，全明户型。,单价10500元/平米
骏腾名苑，南北通厅，全明户型。,单价10500元/平米
